_id,timeStampID,rssiLVNGRM,rssiBDRM,rssiKTCHN
ObjectId(61ab8bbfa3245215261db91e),1636649160,-100,-100,-100
ObjectId(61ab8bbfa3245215261db91f),1636649220,-100,-100,-100
ObjectId(61ab8bbfa3245215261db920),1636649280,-100,-100,-100
ObjectId(61ab8bbfa3245215261db921),1636649340,-100,-100,-100
ObjectId(61ab8bbfa3245215261db922),1636649400,-100,-100,-100
ObjectId(61ab8bbfa3245215261db923),1636649460,-100,-100,-100
ObjectId(61ab8bbfa3245215261db924),1636649520,-100,-100,-100
ObjectId(61ab8bbfa3245215261db925),1636649580,-100,-100,-100
ObjectId(61ab8bbfa3245215261db926),1636649640,-100,-100,-100
ObjectId(61ab8bbfa3245215261db927),1636649700,-100,-100,-100
ObjectId(61ab8bbfa3245215261db928),1636649760,-100,-100,-100
ObjectId(61ab8bbfa3245215261db929),1636649820,-100,-100,-100
ObjectId(61ab8bbfa3245215261db92a),1636649880,-100,-100,-100
ObjectId(61ab8bbfa3245215261db92b),1636649940,-100,-100,-100
ObjectId(61ab8bbfa3245215261db92c),1636650000,-100,-100,-100
ObjectId(61ab8bbfa3245215261db92d),1636650060,-100,-100,-100
ObjectId(61ab8bbfa3245215261db92e),1636650120,-100,-100,-100
ObjectId(61ab8bbfa3245215261db92f),1636650180,-100,-100,-100
ObjectId(61ab8bbfa3245215261db930),1636650240,-100,-100,-100
ObjectId(61ab8bbfa3245215261db931),1636650300,-100,-100,-100
ObjectId(61ab8bbfa3245215261db932),1636650360,-100,-100,-100
ObjectId(61ab8bbfa3245215261db933),1636650420,-100,-100,-100
ObjectId(61ab8bbfa3245215261db934),1636650480,-100,-100,-100
ObjectId(61ab8bbfa3245215261db935),1636650540,-100,-100,-100
ObjectId(61ab8bbfa3245215261db936),1636650600,-100,-100,-100
ObjectId(61ab8bbfa3245215261db937),1636650660,-100,-100,-100
ObjectId(61ab8bbfa3245215261db938),1636650720,-100,-100,-100
ObjectId(61ab8bbfa3245215261db939),1636650780,-100,-100,-100
ObjectId(61ab8bbfa3245215261db93a),1636650840,-100,-100,-100
ObjectId(61ab8bbfa3245215261db93b),1636650900,-100,-100,-100
ObjectId(61ab8bbfa3245215261db93c),1636650960,-100,-100,-100
ObjectId(61ab8bbfa3245215261db93d),1636651020,-100,-100,-100
ObjectId(61ab8bbfa3245215261db93e),1636651080,-100,-100,-100
ObjectId(61ab8bbfa3245215261db93f),1636651140,-100,-100,-100
ObjectId(61ab8bc0a3245215261db940),1636651200,-100,-100,-100
ObjectId(61ab8bc0a3245215261db941),1636651260,-100,-100,-100
ObjectId(61ab8bc0a3245215261db942),1636651320,-100,-100,-100
ObjectId(61ab8bc0a3245215261db943),1636651380,-100,-100,-100
ObjectId(61ab8bc0a3245215261db944),1636651440,-100,-100,-100
ObjectId(61ab8bc0a3245215261db945),1636651500,-100,-100,-100
ObjectId(61ab8bc0a3245215261db946),1636651560,-100,-100,-100
ObjectId(61ab8bc0a3245215261db947),1636651620,-100,-100,-100
ObjectId(61ab8bc0a3245215261db948),1636651680,-100,-100,-100
ObjectId(61ab8bc0a3245215261db949),1636651740,-100,-100,-100
ObjectId(61ab8bc0a3245215261db94a),1636651800,-100,-100,-100
ObjectId(61ab8bc0a3245215261db94b),1636651860,-100,-100,-100
ObjectId(61ab8bc0a3245215261db94c),1636651920,-100,-100,-100
ObjectId(61ab8bc0a3245215261db94d),1636651980,-100,-100,-100
ObjectId(61ab8bc0a3245215261db94e),1636652040,-100,-100,-100
ObjectId(61ab8bc0a3245215261db94f),1636652100,-100,-100,-100
ObjectId(61ab8bc0a3245215261db950),1636652160,-100,-100,-100
ObjectId(61ab8bc0a3245215261db951),1636652220,-100,-100,-100
ObjectId(61ab8bc0a3245215261db952),1636652280,-100,-100,-100
ObjectId(61ab8bc0a3245215261db953),1636652340,-100,-100,-100
ObjectId(61ab8bc0a3245215261db954),1636652400,-100,-100,-100
ObjectId(61ab8bc0a3245215261db955),1636652460,-100,-100,-100
ObjectId(61ab8bc0a3245215261db956),1636652520,-100,-100,-100
ObjectId(61ab8bc0a3245215261db957),1636652580,-100,-100,-100
ObjectId(61ab8bc0a3245215261db958),1636652640,-100,-100,-100
